scenario,policy,load_id,hour,origin,destination_city,destination_state,availability,available_at_origin,price,direct_cost,margin,future_delta,policy_score,wants_accept,outcome
base_public_calibrated,always_reject,0,0,Texas,Dallas,Texas,Slight Shortage,200,2914.54,549.64,2364.90,0.00,0.00,False,reject
base_public_calibrated,always_reject,1,0,Texas,Dallas,Texas,Slight Shortage,200,2376.70,549.64,1827.06,0.00,0.00,False,reject
base_public_calibrated,always_reject,2,0,California,Dallas,Texas,Adequate,10,4909.15,4392.82,516.32,0.00,0.00,False,reject
base_public_calibrated,always_reject,3,0,Texas,Dallas,Texas,Slight Shortage,200,2733.60,549.64,2183.96,0.00,0.00,False,reject
base_public_calibrated,always_reject,4,0,Texas,Dallas,Texas,Slight Shortage,200,2833.35,549.64,2283.71,0.00,0.00,False,reject
base_public_calibrated,always_reject,5,0,Texas,Dallas,Texas,Slight Shortage,200,2508.75,549.64,1959.12,0.00,0.00,False,reject
base_public_calibrated,always_reject,6,0,Texas,Dallas,Texas,Slight Shortage,200,2607.72,549.64,2058.08,0.00,0.00,False,reject
base_public_calibrated,always_reject,7,0,Texas,Dallas,Texas,Slight Shortage,200,3225.40,549.64,2675.77,0.00,0.00,False,reject
base_public_calibrated,always_reject,8,0,Texas,Dallas,Texas,Slight Shortage,200,3010.79,549.64,2461.16,0.00,0.00,False,reject
base_public_calibrated,always_reject,9,0,Texas,Dallas,Texas,Slight Shortage,200,2255.28,549.64,1705.64,0.00,0.00,False,reject
base_public_calibrated,always_reject,10,0,Texas,Dallas,Texas,Slight Shortage,200,2536.26,549.64,1986.62,0.00,0.00,False,reject
base_public_calibrated,always_reject,11,0,Texas,Dallas,Texas,Slight Shortage,200,2456.38,549.64,1906.75,0.00,0.00,False,reject
base_public_calibrated,always_reject,12,0,Texas,Dallas,Texas,Slight Shortage,200,2858.31,549.64,2308.67,0.00,0.00,False,reject
base_public_calibrated,always_reject,13,0,Texas,Chicago,Illinois,Slight Shortage,200,6246.19,3388.19,2858.00,0.00,0.00,False,reject
