scenario,horizon_hours,loads_per_hour,fleet_size,base_cost_per_mile,fixed_load_cost,value_scale_dollars,policy,loads_seen,accepted,rejected,no_truck,accept_rate,profit,revenue,direct_cost,loaded_miles,profit_per_loaded_mile,utilization,p50_latency_ms,p95_latency_ms,final_stranded_trucks,final_top_states
base_public_calibrated,168,18,250,2.85,250.00,2200.00,always_reject,3027,0,3027,0,0.0000,0.00,0.00,0.00,0.00,0.0000,0.0000,0.000083,0.000084,0,48:200; 13:38; 06:10; 04:1; 53:1; 08:0
base_public_calibrated,168,18,250,2.85,250.00,2200.00,myopic_margin,3027,2900,46,81,0.9580,6492757.31,8348977.46,1856220.15,396919.35,16.3579,0.3962,0.000167,0.000209,64,48:162; 12:40; 13:16; 42:8; 53:7; 24:6
base_public_calibrated,168,18,250,2.85,250.00,2200.00,lane_score_weak,3027,2880,57,90,0.9514,6478380.61,8233091.15,1754710.54,363056.33,17.8440,0.3786,0.000167,0.000209,57,48:170; 12:39; 13:17; 53:6; 42:6; 17:4
base_public_calibrated,168,18,250,2.85,250.00,2200.00,bid_price,3027,2843,71,113,0.9392,6378206.74,8014542.45,1636335.71,324766.92,19.6393,0.3577,0.000167,0.000209,36,48:201; 12:29; 13:12; 42:3; 36:2; 53:1
base_public_calibrated,168,18,250,2.85,250.00,2200.00,bid_price_conservative,3027,2833,82,112,0.9359,6355949.41,7973186.03,1617236.62,318942.67,19.9282,0.3542,0.000167,0.000209,35,48:202; 12:29; 13:10; 53:3; 42:3; 36:2
base_public_calibrated,168,18,250,2.85,250.00,2200.00,bid_price_strong_future,3027,2831,73,123,0.9352,6342518.49,7965619.34,1623100.84,321175.73,19.7478,0.3552,0.000167,0.000209,35,48:204; 12:28; 13:10; 42:3; 36:2; 53:1
tight_capacity,168,24,150,3.10,250.00,2200.00,always_reject,4045,0,4045,0,0.0000,0.00,0.00,0.00,0.00,0.0000,0.0000,0.000042,0.000084,0,48:118; 13:24; 06:7; 04:1; 08:0; 53:0
tight_capacity,168,24,150,3.10,250.00,2200.00,myopic_margin,4045,2920,84,1041,0.7219,6379883.22,8341452.20,1961568.98,397280.32,16.0589,0.6629,0.000167,0.000208,69,48:69; 12:45; 42:11; 53:7; 36:6; 13:5
tight_capacity,168,24,150,3.10,250.00,2200.00,lane_score_weak,4045,3025,87,933,0.7478,6625236.42,8560638.74,1935402.32,380371.72,17.4178,0.6620,0.000167,0.000208,66,48:75; 12:46; 42:10; 36:6; 13:5; 53:4
tight_capacity,168,24,150,3.10,250.00,2200.00,bid_price,4045,3459,123,463,0.8551,7484995.13,9533502.79,2048507.67,381857.31,19.6015,0.7148,0.000167,0.000208,30,48:113; 12:26; 13:4; 53:3; 42:3; 36:1
tight_capacity,168,24,150,3.10,250.00,2200.00,bid_price_conservative,4045,3472,143,430,0.8583,7500928.10,9544641.89,2043713.79,379262.51,19.7777,0.7143,0.000167,0.000208,27,48:117; 12:24; 13:3; 53:3; 42:2; 36:1
tight_capacity,168,24,150,3.10,250.00,2200.00,bid_price_strong_future,4045,3453,128,464,0.8536,7424683.79,9466511.49,2041827.69,380186.35,19.5291,0.7128,0.000167,0.000208,26,48:119; 12:22; 13:3; 42:3; 53:2; 36:1
scarce_capacity_high_demand,168,24,100,3.10,250.00,3000.00,always_reject,4045,0,4045,0,0.0000,0.00,0.00,0.00,0.00,0.0000,0.0000,0.000042,0.000084,0,48:77; 13:17; 06:5; 04:1; 08:0; 53:0
scarce_capacity_high_demand,168,24,100,3.10,250.00,3000.00,myopic_margin,4045,1914,84,2047,0.4732,4196373.76,5470447.58,1274073.81,256636.71,16.3514,0.6473,0.000167,0.000208,48,48:45; 12:32; 42:8; 53:5; 17:3; 36:3
scarce_capacity_high_demand,168,24,100,3.10,250.00,3000.00,lane_score_weak,4045,2049,98,1898,0.5066,4489482.17,5784491.74,1295009.58,252503.09,17.7799,0.6665,0.000167,0.000208,40,48:54; 12:25; 42:9; 53:4; 17:3; 36:3
scarce_capacity_high_demand,168,24,100,3.10,250.00,3000.00,bid_price,4045,2434,129,1482,0.6017,5229182.45,6656274.04,1427091.59,264061.80,19.8029,0.7490,0.000167,0.000208,18,48:78; 12:17; 53:3; 13:1; 42:1; 04:0
scarce_capacity_high_demand,168,24,100,3.10,250.00,3000.00,bid_price_conservative,4045,2427,145,1473,0.6000,5210346.85,6634722.57,1424375.72,263750.23,19.7549,0.7474,0.000167,0.000208,18,48:78; 12:16; 53:3; 13:1; 42:1; 36:1
scarce_capacity_high_demand,168,24,100,3.10,250.00,3000.00,bid_price_strong_future,4045,2487,135,1423,0.6148,5379266.96,6851389.42,1472122.46,274313.70,19.6099,0.7707,0.000167,0.000208,17,48:78; 12:15; 13:3; 53:2; 42:2; 04:0
