scenario,origin_state,dest_state,hour_bucket,lambda_mean,n_loads
freightbidbench_scarce_capacity,04,*,1,0.0000,1
freightbidbench_scarce_capacity,04,*,14,0.0000,1
freightbidbench_scarce_capacity,04,*,17,0.0000,2
freightbidbench_scarce_capacity,06,*,0,4.9188,2
freightbidbench_scarce_capacity,06,*,1,4.3040,3
freightbidbench_scarce_capacity,06,*,2,5.7386,1
freightbidbench_scarce_capacity,06,*,3,4.9188,2
freightbidbench_scarce_capacity,06,*,4,4.9188,2
freightbidbench_scarce_capacity,06,*,5,4.3040,3
freightbidbench_scarce_capacity,06,*,6,4.9188,2
freightbidbench_scarce_capacity,06,*,7,5.7386,1
freightbidbench_scarce_capacity,06,*,8,5.7386,1
freightbidbench_scarce_capacity,06,*,9,4.9188,2
freightbidbench_scarce_capacity,06,*,10,5.7386,1
freightbidbench_scarce_capacity,06,*,11,4.9188,2
freightbidbench_scarce_capacity,06,*,13,3.8257,4
freightbidbench_scarce_capacity,06,*,14,5.7386,1
freightbidbench_scarce_capacity,06,*,15,4.9188,2
freightbidbench_scarce_capacity,06,*,16,4.9188,2
freightbidbench_scarce_capacity,06,*,17,4.9188,2
freightbidbench_scarce_capacity,06,*,18,3.8257,4
freightbidbench_scarce_capacity,06,*,19,4.9188,2
freightbidbench_scarce_capacity,06,*,20,5.5083,2
freightbidbench_scarce_capacity,06,*,21,4.3040,3
freightbidbench_scarce_capacity,06,*,22,4.9188,2
freightbidbench_scarce_capacity,06,*,23,45.9669,3
freightbidbench_scarce_capacity,08,*,9,0.0000,1
freightbidbench_scarce_capacity,13,*,0,219.6852,6
freightbidbench_scarce_capacity,13,*,1,135.6271,10
freightbidbench_scarce_capacity,13,*,2,140.2929,6
freightbidbench_scarce_capacity,13,*,3,272.4443,2
freightbidbench_scarce_capacity,13,*,4,165.3684,9
freightbidbench_scarce_capacity,13,*,5,234.4383,6
freightbidbench_scarce_capacity,13,*,6,140.0491,12
freightbidbench_scarce_capacity,13,*,7,144.2682,10
freightbidbench_scarce_capacity,13,*,8,757.1617,7
freightbidbench_scarce_capacity,13,*,9,426.4676,5
freightbidbench_scarce_capacity,13,*,10,396.0883,7
freightbidbench_scarce_capacity,13,*,11,542.9147,4
freightbidbench_scarce_capacity,13,*,12,561.4712,5
freightbidbench_scarce_capacity,13,*,13,637.3998,11
freightbidbench_scarce_capacity,13,*,14,595.1455,14
freightbidbench_scarce_capacity,13,*,15,673.1298,7
freightbidbench_scarce_capacity,13,*,16,140.2929,6
freightbidbench_scarce_capacity,13,*,17,193.3782,8
freightbidbench_scarce_capacity,13,*,18,192.9027,3
freightbidbench_scarce_capacity,13,*,19,188.0835,10
freightbidbench_scarce_capacity,13,*,20,215.1630,8
freightbidbench_scarce_capacity,13,*,21,175.8673,11
freightbidbench_scarce_capacity,13,*,22,226.9658,7
freightbidbench_scarce_capacity,13,*,23,102.8814,10
freightbidbench_scarce_capacity,48,*,0,246.7572,47
freightbidbench_scarce_capacity,48,*,1,128.1789,41
freightbidbench_scarce_capacity,48,*,2,178.6927,31
freightbidbench_scarce_capacity,48,*,3,137.6607,38
freightbidbench_scarce_capacity,48,*,4,149.9118,40
freightbidbench_scarce_capacity,48,*,5,133.9328,41
freightbidbench_scarce_capacity,48,*,6,137.0139,32
freightbidbench_scarce_capacity,48,*,7,147.6190,33
freightbidbench_scarce_capacity,48,*,8,711.1669,32
freightbidbench_scarce_capacity,48,*,9,724.1085,38
freightbidbench_scarce_capacity,48,*,10,455.2503,48
freightbidbench_scarce_capacity,48,*,11,574.9465,40
freightbidbench_scarce_capacity,48,*,12,617.3217,44
freightbidbench_scarce_capacity,48,*,13,714.8634,33
freightbidbench_scarce_capacity,48,*,14,635.7100,37
freightbidbench_scarce_capacity,48,*,15,658.3664,35
freightbidbench_scarce_capacity,48,*,16,48.4347,36
freightbidbench_scarce_capacity,48,*,17,69.0693,31
freightbidbench_scarce_capacity,48,*,18,104.2551,39
freightbidbench_scarce_capacity,48,*,19,113.4616,39
freightbidbench_scarce_capacity,48,*,20,154.9419,39
freightbidbench_scarce_capacity,48,*,21,135.9456,46
freightbidbench_scarce_capacity,48,*,22,105.0186,37
freightbidbench_scarce_capacity,48,*,23,193.1126,36
freightbidbench_scarce_capacity,53,*,6,0.0000,1
freightbidbench_scarce_capacity,53,*,7,0.0000,1
freightbidbench_scarce_capacity,53,*,23,0.0000,1
freightbidbench_scarce_capacity,04,*,-1,0.0000,4
freightbidbench_scarce_capacity,06,*,-1,6.8863,49
freightbidbench_scarce_capacity,08,*,-1,0.0000,1
freightbidbench_scarce_capacity,13,*,-1,308.6443,184
freightbidbench_scarce_capacity,48,*,-1,302.7063,913
freightbidbench_scarce_capacity,53,*,-1,0.0000,3
freightbidbench_scarce_capacity,*,*,-1,288.9938,1154
freightbidbench_mild_capacity,04,*,4,0.0000,1
freightbidbench_mild_capacity,04,*,6,0.0000,1
freightbidbench_mild_capacity,04,*,7,0.0000,1
freightbidbench_mild_capacity,04,*,21,0.0000,1
freightbidbench_mild_capacity,06,*,0,75.1223,3
freightbidbench_mild_capacity,06,*,1,100.1631,1
freightbidbench_mild_capacity,06,*,2,245.9961,1
freightbidbench_mild_capacity,06,*,3,85.8541,2
freightbidbench_mild_capacity,06,*,4,85.8541,2
freightbidbench_mild_capacity,06,*,5,190.9530,3
freightbidbench_mild_capacity,06,*,6,100.1631,1
freightbidbench_mild_capacity,06,*,7,75.1223,3
freightbidbench_mild_capacity,06,*,9,375.7734,3
freightbidbench_mild_capacity,06,*,10,100.1631,1
freightbidbench_mild_capacity,06,*,12,100.1631,1
freightbidbench_mild_capacity,06,*,13,100.1631,1
freightbidbench_mild_capacity,06,*,14,100.1631,1
freightbidbench_mild_capacity,06,*,15,100.1631,1
freightbidbench_mild_capacity,06,*,16,75.1223,3
freightbidbench_mild_capacity,06,*,17,85.8541,2
freightbidbench_mild_capacity,06,*,18,75.1223,3
freightbidbench_mild_capacity,06,*,22,100.1631,1
freightbidbench_mild_capacity,06,*,23,85.8541,2
freightbidbench_mild_capacity,08,*,10,0.0000,1
freightbidbench_mild_capacity,13,*,0,659.1966,5
freightbidbench_mild_capacity,13,*,1,791.3056,7
freightbidbench_mild_capacity,13,*,2,498.3560,3
freightbidbench_mild_capacity,13,*,3,694.6517,4
freightbidbench_mild_capacity,13,*,4,475.1212,7
freightbidbench_mild_capacity,13,*,5,691.3900,7
freightbidbench_mild_capacity,13,*,6,644.2412,6
freightbidbench_mild_capacity,13,*,7,533.8534,6
freightbidbench_mild_capacity,13,*,8,904.0022,7
freightbidbench_mild_capacity,13,*,9,1035.3394,7
freightbidbench_mild_capacity,13,*,10,1357.8189,9
freightbidbench_mild_capacity,13,*,11,888.7428,6
freightbidbench_mild_capacity,13,*,12,1316.1843,5
freightbidbench_mild_capacity,13,*,13,1595.0533,7
freightbidbench_mild_capacity,13,*,14,950.6437,5
freightbidbench_mild_capacity,13,*,15,942.1194,8
freightbidbench_mild_capacity,13,*,16,458.6284,4
freightbidbench_mild_capacity,13,*,17,537.5558,5
freightbidbench_mild_capacity,13,*,18,533.2740,6
freightbidbench_mild_capacity,13,*,19,566.0144,8
freightbidbench_mild_capacity,13,*,20,766.3360,4
freightbidbench_mild_capacity,13,*,21,675.7786,6
freightbidbench_mild_capacity,13,*,22,535.1410,3
freightbidbench_mild_capacity,13,*,23,623.0625,3
freightbidbench_mild_capacity,48,*,0,661.2392,34
freightbidbench_mild_capacity,48,*,1,378.3656,33
freightbidbench_mild_capacity,48,*,2,510.6102,24
freightbidbench_mild_capacity,48,*,3,422.1784,26
freightbidbench_mild_capacity,48,*,4,499.8934,33
freightbidbench_mild_capacity,48,*,5,447.1816,29
freightbidbench_mild_capacity,48,*,6,395.2653,24
freightbidbench_mild_capacity,48,*,7,358.6573,32
freightbidbench_mild_capacity,48,*,8,1639.9428,30
freightbidbench_mild_capacity,48,*,9,1252.6693,39
freightbidbench_mild_capacity,48,*,10,1111.0222,32
freightbidbench_mild_capacity,48,*,11,1101.5457,26
freightbidbench_mild_capacity,48,*,12,1225.5585,26
freightbidbench_mild_capacity,48,*,13,1271.3644,24
freightbidbench_mild_capacity,48,*,14,1466.6711,38
freightbidbench_mild_capacity,48,*,15,1244.0434,24
freightbidbench_mild_capacity,48,*,16,275.3137,31
freightbidbench_mild_capacity,48,*,17,419.4400,23
freightbidbench_mild_capacity,48,*,18,397.3040,29
freightbidbench_mild_capacity,48,*,19,400.8611,27
freightbidbench_mild_capacity,48,*,20,750.7590,24
freightbidbench_mild_capacity,48,*,21,403.6294,30
freightbidbench_mild_capacity,48,*,22,720.9535,25
freightbidbench_mild_capacity,48,*,23,427.8249,40
freightbidbench_mild_capacity,53,*,3,72.7512,1
freightbidbench_mild_capacity,53,*,7,72.7512,1
freightbidbench_mild_capacity,53,*,15,130.9521,1
freightbidbench_mild_capacity,53,*,17,72.7512,1
freightbidbench_mild_capacity,04,*,-1,0.0000,4
freightbidbench_mild_capacity,06,*,-1,120.1958,35
freightbidbench_mild_capacity,08,*,-1,0.0000,1
freightbidbench_mild_capacity,13,*,-1,797.3696,138
freightbidbench_mild_capacity,48,*,-1,745.4958,703
freightbidbench_mild_capacity,53,*,-1,87.3014,4
freightbidbench_mild_capacity,*,*,-1,721.6685,885
freightbidbench_tight_capacity,04,*,3,0.0000,1
freightbidbench_tight_capacity,04,*,4,0.0000,1
freightbidbench_tight_capacity,04,*,14,0.0000,1
freightbidbench_tight_capacity,04,*,17,0.0000,1
freightbidbench_tight_capacity,06,*,0,8.4257,1
freightbidbench_tight_capacity,06,*,1,7.2221,2
freightbidbench_tight_capacity,06,*,2,48.4246,3
freightbidbench_tight_capacity,06,*,3,8.4257,1
freightbidbench_tight_capacity,06,*,4,5.6172,4
freightbidbench_tight_capacity,06,*,7,7.2221,2
freightbidbench_tight_capacity,06,*,8,7.2221,2
freightbidbench_tight_capacity,06,*,10,8.4257,1
freightbidbench_tight_capacity,06,*,11,8.4257,1
freightbidbench_tight_capacity,06,*,12,6.3193,3
freightbidbench_tight_capacity,06,*,15,7.2221,2
freightbidbench_tight_capacity,06,*,17,7.2221,2
freightbidbench_tight_capacity,06,*,18,6.3193,3
freightbidbench_tight_capacity,06,*,19,9.7130,3
freightbidbench_tight_capacity,06,*,20,7.2221,2
freightbidbench_tight_capacity,06,*,21,8.4257,1
freightbidbench_tight_capacity,06,*,22,6.3193,3
freightbidbench_tight_capacity,08,*,23,0.0000,1
freightbidbench_tight_capacity,13,*,0,244.9395,10
freightbidbench_tight_capacity,13,*,1,454.2837,7
freightbidbench_tight_capacity,13,*,2,265.5884,9
freightbidbench_tight_capacity,13,*,3,243.7101,4
freightbidbench_tight_capacity,13,*,4,388.1935,8
freightbidbench_tight_capacity,13,*,5,309.1282,6
freightbidbench_tight_capacity,13,*,6,224.9165,9
freightbidbench_tight_capacity,13,*,7,313.1394,10
freightbidbench_tight_capacity,13,*,8,748.4287,8
freightbidbench_tight_capacity,13,*,9,820.2983,10
freightbidbench_tight_capacity,13,*,10,815.6452,7
freightbidbench_tight_capacity,13,*,11,570.0210,5
freightbidbench_tight_capacity,13,*,12,973.9829,4
freightbidbench_tight_capacity,13,*,13,767.8046,8
freightbidbench_tight_capacity,13,*,14,469.4434,4
freightbidbench_tight_capacity,13,*,15,752.8544,8
freightbidbench_tight_capacity,13,*,16,213.8765,6
freightbidbench_tight_capacity,13,*,17,260.9274,12
freightbidbench_tight_capacity,13,*,18,182.7826,7
freightbidbench_tight_capacity,13,*,19,298.6243,6
freightbidbench_tight_capacity,13,*,20,363.7848,10
freightbidbench_tight_capacity,13,*,21,376.7715,7
freightbidbench_tight_capacity,13,*,22,252.8091,7
freightbidbench_tight_capacity,13,*,23,328.7731,4
freightbidbench_tight_capacity,48,*,0,436.8148,40
freightbidbench_tight_capacity,48,*,1,234.3852,32
freightbidbench_tight_capacity,48,*,2,233.7539,36
freightbidbench_tight_capacity,48,*,3,256.2006,34
freightbidbench_tight_capacity,48,*,4,387.1637,28
freightbidbench_tight_capacity,48,*,5,308.7962,29
freightbidbench_tight_capacity,48,*,6,235.4859,27
freightbidbench_tight_capacity,48,*,7,139.7139,34
freightbidbench_tight_capacity,48,*,8,1061.3920,20
freightbidbench_tight_capacity,48,*,9,1203.8802,40
freightbidbench_tight_capacity,48,*,10,877.8948,30
freightbidbench_tight_capacity,48,*,11,892.4073,25
freightbidbench_tight_capacity,48,*,12,810.0195,35
freightbidbench_tight_capacity,48,*,13,1067.7492,28
freightbidbench_tight_capacity,48,*,14,1020.9358,35
freightbidbench_tight_capacity,48,*,15,918.6758,42
freightbidbench_tight_capacity,48,*,16,157.6687,25
freightbidbench_tight_capacity,48,*,17,188.1653,41
freightbidbench_tight_capacity,48,*,18,235.4252,34
freightbidbench_tight_capacity,48,*,19,179.5174,30
freightbidbench_tight_capacity,48,*,20,298.4755,36
freightbidbench_tight_capacity,48,*,21,168.9816,34
freightbidbench_tight_capacity,48,*,22,310.3004,28
freightbidbench_tight_capacity,48,*,23,395.4330,34
freightbidbench_tight_capacity,53,*,6,0.0000,1
freightbidbench_tight_capacity,04,*,-1,0.0000,4
freightbidbench_tight_capacity,06,*,-1,10.1109,36
freightbidbench_tight_capacity,08,*,-1,0.0000,1
freightbidbench_tight_capacity,13,*,-1,438.6782,176
freightbidbench_tight_capacity,48,*,-1,498.7337,777
freightbidbench_tight_capacity,53,*,-1,0.0000,1
freightbidbench_tight_capacity,*,*,-1,467.4245,995
freightbidbench_tight_x05,04,*,4,0.0000,1
freightbidbench_tight_x05,04,*,9,0.0000,1
freightbidbench_tight_x05,04,*,15,0.0000,2
freightbidbench_tight_x05,04,*,19,0.0000,1
freightbidbench_tight_x05,06,*,0,14.7213,3
freightbidbench_tight_x05,06,*,1,19.6284,1
freightbidbench_tight_x05,06,*,2,19.6284,1
freightbidbench_tight_x05,06,*,6,19.6284,1
freightbidbench_tight_x05,06,*,7,19.6284,1
freightbidbench_tight_x05,06,*,9,19.6284,1
freightbidbench_tight_x05,06,*,12,19.6284,1
freightbidbench_tight_x05,06,*,14,16.8244,2
freightbidbench_tight_x05,06,*,15,100.9463,2
freightbidbench_tight_x05,06,*,16,14.7213,3
freightbidbench_tight_x05,06,*,17,19.6284,1
freightbidbench_tight_x05,06,*,20,13.0856,4
freightbidbench_tight_x05,06,*,21,19.6284,1
freightbidbench_tight_x05,06,*,22,14.7213,3
freightbidbench_tight_x05,13,*,0,175.1120,2
freightbidbench_tight_x05,13,*,1,175.1120,2
freightbidbench_tight_x05,13,*,2,249.6551,5
freightbidbench_tight_x05,13,*,3,204.2973,1
freightbidbench_tight_x05,13,*,4,175.1120,2
freightbidbench_tight_x05,13,*,5,154.7240,5
freightbidbench_tight_x05,13,*,6,215.5838,9
freightbidbench_tight_x05,13,*,7,158.9305,6
freightbidbench_tight_x05,13,*,8,305.4130,2
freightbidbench_tight_x05,13,*,9,359.7576,2
freightbidbench_tight_x05,13,*,10,204.2973,1
freightbidbench_tight_x05,13,*,11,306.7828,3
freightbidbench_tight_x05,13,*,12,295.8276,8
freightbidbench_tight_x05,13,*,13,389.0833,5
freightbidbench_tight_x05,13,*,14,229.1007,4
freightbidbench_tight_x05,13,*,15,438.0598,7
freightbidbench_tight_x05,13,*,16,175.1120,2
freightbidbench_tight_x05,13,*,17,136.1982,4
freightbidbench_tight_x05,13,*,19,204.2973,1
freightbidbench_tight_x05,13,*,20,153.2230,3
freightbidbench_tight_x05,13,*,21,296.4210,1
freightbidbench_tight_x05,13,*,22,293.9803,2
freightbidbench_tight_x05,48,*,0,251.8808,28
freightbidbench_tight_x05,48,*,1,175.2160,14
freightbidbench_tight_x05,48,*,2,230.5685,9
freightbidbench_tight_x05,48,*,3,79.1015,14
freightbidbench_tight_x05,48,*,4,146.9161,18
freightbidbench_tight_x05,48,*,5,65.3447,18
freightbidbench_tight_x05,48,*,6,68.3149,17
freightbidbench_tight_x05,48,*,7,96.6973,18
freightbidbench_tight_x05,48,*,8,563.5430,14
freightbidbench_tight_x05,48,*,9,651.3304,14
freightbidbench_tight_x05,48,*,10,385.9331,10
freightbidbench_tight_x05,48,*,11,709.8840,13
freightbidbench_tight_x05,48,*,12,547.4762,22
freightbidbench_tight_x05,48,*,13,475.8499,18
freightbidbench_tight_x05,48,*,14,619.2503,20
freightbidbench_tight_x05,48,*,15,448.0134,16
freightbidbench_tight_x05,48,*,16,197.0539,17
freightbidbench_tight_x05,48,*,17,88.4076,12
freightbidbench_tight_x05,48,*,18,182.7040,11
freightbidbench_tight_x05,48,*,19,124.6260,15
freightbidbench_tight_x05,48,*,20,214.2892,18
freightbidbench_tight_x05,48,*,21,286.0697,8
freightbidbench_tight_x05,48,*,22,168.1916,14
freightbidbench_tight_x05,48,*,23,371.1035,21
freightbidbench_tight_x05,53,*,7,0.0000,2
freightbidbench_tight_x05,53,*,10,0.0000,1
freightbidbench_tight_x05,04,*,-1,0.0000,5
freightbidbench_tight_x05,06,*,-1,23.5541,25
freightbidbench_tight_x05,13,*,-1,245.1568,77
freightbidbench_tight_x05,48,*,-1,300.5857,379
freightbidbench_tight_x05,53,*,-1,0.0000,3
freightbidbench_tight_x05,*,*,-1,272.7769,489
freightbidbench_tight_x1,04,*,0,0.0000,2
freightbidbench_tight_x1,04,*,2,0.0000,2
freightbidbench_tight_x1,04,*,4,0.0000,1
freightbidbench_tight_x1,04,*,8,0.0000,1
freightbidbench_tight_x1,04,*,14,0.0000,1
freightbidbench_tight_x1,04,*,15,0.0000,1
freightbidbench_tight_x1,06,*,0,37.6105,2
freightbidbench_tight_x1,06,*,2,29.2526,4
freightbidbench_tight_x1,06,*,3,37.6105,2
freightbidbench_tight_x1,06,*,4,43.8789,1
freightbidbench_tight_x1,06,*,5,32.9091,3
freightbidbench_tight_x1,06,*,6,32.9091,3
freightbidbench_tight_x1,06,*,7,32.9091,3
freightbidbench_tight_x1,06,*,8,37.6105,2
freightbidbench_tight_x1,06,*,9,43.8789,1
freightbidbench_tight_x1,06,*,10,43.8789,1
freightbidbench_tight_x1,06,*,11,37.6105,2
freightbidbench_tight_x1,06,*,12,32.9091,3
freightbidbench_tight_x1,06,*,13,340.4288,2
freightbidbench_tight_x1,06,*,14,32.9091,3
freightbidbench_tight_x1,06,*,16,43.8789,1
freightbidbench_tight_x1,06,*,17,39.4488,4
freightbidbench_tight_x1,06,*,18,43.8789,1
freightbidbench_tight_x1,06,*,20,37.6105,2
freightbidbench_tight_x1,06,*,21,43.8789,1
freightbidbench_tight_x1,06,*,22,43.8789,1
freightbidbench_tight_x1,13,*,0,128.3453,9
freightbidbench_tight_x1,13,*,1,268.9735,8
freightbidbench_tight_x1,13,*,2,228.0149,7
freightbidbench_tight_x1,13,*,3,138.2180,8
freightbidbench_tight_x1,13,*,4,199.8631,7
freightbidbench_tight_x1,13,*,5,246.5753,8
freightbidbench_tight_x1,13,*,6,209.4809,10
freightbidbench_tight_x1,13,*,7,256.6905,2
freightbidbench_tight_x1,13,*,8,501.1399,9
freightbidbench_tight_x1,13,*,9,511.1294,10
freightbidbench_tight_x1,13,*,10,807.9189,6
freightbidbench_tight_x1,13,*,11,794.0337,3
freightbidbench_tight_x1,13,*,12,572.1069,6
freightbidbench_tight_x1,13,*,13,592.3820,5
freightbidbench_tight_x1,13,*,14,685.1413,10
freightbidbench_tight_x1,13,*,15,656.4194,9
freightbidbench_tight_x1,13,*,16,157.0281,8
freightbidbench_tight_x1,13,*,17,163.9331,7
freightbidbench_tight_x1,13,*,18,221.7735,4
freightbidbench_tight_x1,13,*,19,310.1772,4
freightbidbench_tight_x1,13,*,20,287.4895,6
freightbidbench_tight_x1,13,*,21,280.9458,9
freightbidbench_tight_x1,13,*,22,179.6834,5
freightbidbench_tight_x1,13,*,23,303.4750,10
freightbidbench_tight_x1,48,*,0,361.1071,36
freightbidbench_tight_x1,48,*,1,189.2936,39
freightbidbench_tight_x1,48,*,2,119.6469,42
freightbidbench_tight_x1,48,*,3,179.9189,33
freightbidbench_tight_x1,48,*,4,154.8778,38
freightbidbench_tight_x1,48,*,5,283.7685,28
freightbidbench_tight_x1,48,*,6,61.4771,25
freightbidbench_tight_x1,48,*,7,116.9428,36
freightbidbench_tight_x1,48,*,8,1232.0110,34
freightbidbench_tight_x1,48,*,9,758.1390,34
freightbidbench_tight_x1,48,*,10,590.7491,34
freightbidbench_tight_x1,48,*,11,614.1748,34
freightbidbench_tight_x1,48,*,12,787.7391,38
freightbidbench_tight_x1,48,*,13,696.0913,38
freightbidbench_tight_x1,48,*,14,749.4888,30
freightbidbench_tight_x1,48,*,15,744.3343,37
freightbidbench_tight_x1,48,*,16,80.2249,33
freightbidbench_tight_x1,48,*,17,49.8463,32
freightbidbench_tight_x1,48,*,18,202.7350,38
freightbidbench_tight_x1,48,*,19,44.9832,36
freightbidbench_tight_x1,48,*,20,196.1884,30
freightbidbench_tight_x1,48,*,21,181.0177,28
freightbidbench_tight_x1,48,*,22,284.8106,38
freightbidbench_tight_x1,48,*,23,112.3555,36
freightbidbench_tight_x1,53,*,1,0.0000,1
freightbidbench_tight_x1,53,*,5,0.0000,1
freightbidbench_tight_x1,04,*,-1,0.0000,8
freightbidbench_tight_x1,06,*,-1,52.6546,42
freightbidbench_tight_x1,13,*,-1,359.3667,170
freightbidbench_tight_x1,48,*,-1,368.8625,827
freightbidbench_tight_x1,53,*,-1,0.0000,2
freightbidbench_tight_x1,*,*,-1,351.1470,1049
freightbidbench_tight_x2,04,*,1,51.2048,1
freightbidbench_tight_x2,04,*,6,51.2048,1
freightbidbench_tight_x2,04,*,8,51.2048,1
freightbidbench_tight_x2,04,*,9,43.8898,2
freightbidbench_tight_x2,04,*,10,51.2048,1
freightbidbench_tight_x2,04,*,12,51.2048,1
freightbidbench_tight_x2,04,*,14,51.2048,1
freightbidbench_tight_x2,04,*,15,204.8191,1
freightbidbench_tight_x2,04,*,16,51.2048,1
freightbidbench_tight_x2,04,*,17,51.2048,1
freightbidbench_tight_x2,04,*,18,51.2048,1
freightbidbench_tight_x2,04,*,21,51.2048,1
freightbidbench_tight_x2,04,*,22,51.2048,1
freightbidbench_tight_x2,04,*,23,51.2048,1
freightbidbench_tight_x2,06,*,0,22.6587,9
freightbidbench_tight_x2,06,*,1,28.8383,6
