scenario,policy,cascade_band_dollars,n_runs,mean_profit,std_profit,ci95_profit_halfwidth,mean_profit_retention_vs_rollout,min_profit_retention_vs_rollout,max_profit_retention_vs_rollout,mean_latency_ms,mean_p95_latency_ms,mean_rollout_stage_share,mean_surrogate_stage_share,mean_accepted,mean_no_truck,mean_accept_rate,mean_static_agreement,mean_static_mae,mean_static_p90_abs_error
surrogate_probe_mild_capacity,cascade_surrogate_rollout,0.00,3,1730609.99,68712.22,170704.40,0.997472,0.993200,1.001172,0.129159,0.005431,0.069600,0.930400,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,100.00,3,1730732.61,68801.80,170926.93,0.997541,0.993200,1.001381,0.134596,0.005069,0.070833,0.929167,774.67,0.00,0.933567,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,250.00,3,1731358.21,69267.15,172083.03,0.997896,0.993200,1.002446,0.150887,0.005486,0.075600,0.924400,774.67,0.00,0.933567,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,500.00,3,1729747.49,68385.86,169893.61,0.996979,0.992860,1.001067,0.165328,1.119444,0.079200,0.920800,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,700.00,3,1729747.49,68385.86,169893.61,0.996979,0.992860,1.001067,0.196021,1.180611,0.087733,0.912267,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,900.00,3,1729747.49,68385.86,169893.61,0.996979,0.992860,1.001067,0.253614,3.532236,0.103533,0.896467,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,1200.00,3,1729958.50,66298.50,164707.88,0.997130,0.994492,1.000000,0.393777,3.629736,0.142767,0.857233,774.67,0.00,0.933600,0.972542,682.70,1137.85
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,0.00,3,1256763.37,92135.20,228894.99,0.869818,0.836916,0.903663,0.149023,2.105222,0.126433,0.873567,557.67,0.00,0.464867,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,100.00,3,1266772.33,83642.75,207796.89,0.876889,0.851782,0.905463,0.296864,3.199944,0.177600,0.822400,563.33,0.00,0.469600,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,250.00,3,1290006.26,80172.39,199175.34,0.893078,0.875866,0.921679,0.467563,3.260889,0.229467,0.770533,571.33,0.00,0.476300,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,500.00,3,1327477.38,59675.72,148254.66,0.919410,0.903193,0.931278,0.729854,3.325361,0.312033,0.687967,587.67,0.00,0.489867,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,700.00,3,1358939.66,70485.06,175108.74,0.941186,0.909301,0.958624,0.939580,3.319181,0.407500,0.592500,601.33,0.00,0.501333,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,900.00,3,1382156.47,71828.18,178445.49,0.957339,0.920551,0.978298,1.113271,3.316931,0.490100,0.509900,611.33,0.00,0.509700,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,1200.00,3,1424406.39,67344.58,167306.71,0.986683,0.953046,1.008793,1.461091,3.360597,0.683467,0.316533,630.67,0.00,0.525767,0.674184,2095.83,3648.75
surrogate_probe_tight_capacity,cascade_surrogate_rollout,0.00,3,1641589.76,59135.08,146911.55,0.985834,0.950531,1.013226,0.247731,3.389333,0.156533,0.843467,735.33,0.00,0.727533,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,100.00,3,1644160.90,60879.50,151245.28,0.987368,0.952465,1.017547,0.402022,3.473403,0.209667,0.790333,737.33,0.00,0.729533,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,250.00,3,1664177.87,71526.00,177694.77,0.999381,0.956413,1.033836,0.630128,3.497306,0.298733,0.701267,749.33,0.00,0.741367,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,500.00,3,1668455.41,59320.20,147371.44,1.001950,0.971796,1.034119,0.941238,3.530486,0.429633,0.570367,751.67,0.00,0.743733,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,700.00,3,1684869.79,56177.49,139563.89,1.011825,0.979865,1.039117,1.171781,3.524264,0.518633,0.481367,760.33,0.00,0.752300,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,900.00,3,1689598.20,46253.27,114908.77,1.014672,0.991186,1.038088,1.366149,3.559667,0.593733,0.406267,763.33,0.00,0.755300,0.783027,1845.16,3653.03
surrogate_probe_tight_capacity,cascade_surrogate_rollout,1200.00,3,1675013.20,27988.70,69533.40,1.005952,0.990497,1.015910,1.635645,3.569764,0.677800,0.322200,756.67,0.00,0.748733,0.783027,1845.16,3653.03
