scenario,horizon_hours,loads_per_hour,fleet_size,base_cost_per_mile,fixed_load_cost,value_scale_dollars,train_seed,eval_seed,train_label_count,eval_label_count,static_agreement,static_mae,static_p90_abs_error,policy,cascade_band_dollars,loads_seen,accepted,rejected,no_truck,accept_rate,profit,profit_retention_vs_rollout,revenue,direct_cost,loaded_miles,profit_per_loaded_mile,utilization,mean_latency_ms,p50_latency_ms,p95_latency_ms,surrogate_stage_share,rollout_stage_share,final_top_states,cell_elapsed_seconds
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,myopic_margin,,810,756,11,43,0.9333,1660125.90,0.998335,2170099.42,509973.52,108804.58,15.2579,0.6858,0.000104,0.000084,0.000125,0.0000,0.0000,48:60; 13:10; 12:7; 42:5; 24:3; 06:1,8.39
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,bid_price,,810,753,13,44,0.9296,1661034.42,0.998881,2128458.25,467423.84,94635.20,17.5520,0.6407,0.000454,0.000458,0.000500,0.0000,0.0000,48:66; 13:10; 12:7; 42:3; 24:2; 53:1,8.39
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,surrogate_linear,,810,746,46,18,0.9210,1651599.21,0.993207,2096679.17,445079.96,87654.22,18.8422,0.6159,0.002364,0.002375,0.002667,1.0000,0.0000,48:59; 13:10; 06:9; 12:7; 04:1; 25:1,8.39
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,rollout_teacher,,810,756,54,0,0.9333,1662894.55,1.000000,2176900.53,514005.98,110171.52,15.0937,0.6900,3.433182,3.607521,3.796584,0.0000,1.0000,48:59; 13:10; 12:7; 42:5; 24:3; 36:2,8.39
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,cascade_surrogate_rollout,0.00,810,747,63,0,0.9222,1651586.25,0.993200,2098216.25,446630.00,88094.92,18.7478,0.6177,0.157298,0.003417,0.006166,0.9235,0.0765,48:59; 06:10; 13:10; 12:7; 25:1; 42:1,8.52
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,cascade_surrogate_rollout,100.00,810,747,63,0,0.9222,1651586.25,0.993200,2098216.25,446630.00,88094.92,18.7478,0.6177,0.161171,0.003417,0.005375,0.9222,0.0778,48:59; 06:10; 13:10; 12:7; 25:1; 42:1,8.65
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,cascade_surrogate_rollout,250.00,810,747,63,0,0.9222,1651586.25,0.993200,2098216.25,446630.00,88094.92,18.7478,0.6177,0.165796,0.003417,0.005708,0.9210,0.0790,48:59; 06:10; 13:10; 12:7; 25:1; 42:1,8.79
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,cascade_surrogate_rollout,500.00,810,747,63,0,0.9222,1651021.71,0.992860,2097651.71,446630.00,88094.92,18.7414,0.6177,0.183410,0.003417,3.347458,0.9173,0.0827,48:59; 06:10; 13:10; 12:7; 25:1; 42:1,8.94
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,cascade_surrogate_rollout,700.00,810,747,63,0,0.9222,1651021.71,0.992860,2097651.71,446630.00,88094.92,18.7414,0.6177,0.236922,0.003479,3.510875,0.9025,0.0975,48:59; 06:10; 13:10; 12:7; 25:1; 42:1,9.13
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,cascade_surrogate_rollout,900.00,810,747,63,0,0.9222,1651021.71,0.992860,2097651.71,446630.00,88094.92,18.7414,0.6177,0.330092,0.003605,3.563959,0.8765,0.1235,48:59; 06:10; 13:10; 12:7; 25:1; 42:1,9.40
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260506,20260507,835,810,0.960494,672.62,1243.10,cascade_surrogate_rollout,1200.00,810,748,62,0,0.9235,1653734.93,0.994492,2108567.61,454832.68,90790.74,18.2148,0.6265,0.551461,0.003667,3.622333,0.8148,0.1852,48:59; 13:10; 06:9; 12:7; 42:2; 25:1,9.85
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,myopic_margin,,837,788,9,40,0.9415,1764865.44,1.001678,2263118.79,498253.35,102119.78,17.2823,0.6800,0.000104,0.000084,0.000125,0.0000,0.0000,48:57; 12:15; 13:14; 06:1; 24:1; 17:1,8.81
surrogate_probe_mild_capacity,72,12,90,2.95,250.00,2400.00,20260508,20260509,857,837,0.980884,795.37,1363.07,bid_price,,837,771,24,42,0.9211,1728546.12,0.981065,2162966.73,434420.61,81922.24,21.0998,0.6098,0.000462,0.000458,0.000500,0.0000,0.0000,48:72; 13:10; 12:8; 04:0; 06:0; 08:0,8.81
