scenario,policy,cascade_band_dollars,n_runs,mean_profit,std_profit,ci95_profit_halfwidth,mean_profit_retention_vs_rollout,min_profit_retention_vs_rollout,max_profit_retention_vs_rollout,mean_latency_ms,mean_p95_latency_ms,mean_rollout_stage_share,mean_surrogate_stage_share,mean_accepted,mean_no_truck,mean_accept_rate,mean_static_agreement,mean_static_mae,mean_static_p90_abs_error
surrogate_probe_mild_capacity,myopic_margin,,3,1734797.93,65075.07,161668.49,0.999939,0.998335,1.001678,0.000104,0.000125,0.000000,0.000000,780.67,38.00,0.940833,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,bid_price,,3,1717519.67,51858.79,128834.77,0.990173,0.981065,0.998881,0.000453,0.000486,0.000000,0.000000,770.00,40.67,0.928067,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,surrogate_linear,,3,1731828.81,69482.56,172618.18,0.998172,0.993207,1.005970,0.002404,0.002764,0.000000,1.000000,774.00,10.67,0.932800,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,0.00,3,1730609.99,68712.22,170704.40,0.997472,0.993200,1.001172,0.129159,0.005431,0.069600,0.930400,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,100.00,3,1730732.61,68801.80,170926.93,0.997541,0.993200,1.001381,0.134596,0.005069,0.070833,0.929167,774.67,0.00,0.933567,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,250.00,3,1731358.21,69267.15,172083.03,0.997896,0.993200,1.002446,0.150887,0.005486,0.075600,0.924400,774.67,0.00,0.933567,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,500.00,3,1729747.49,68385.86,169893.61,0.996979,0.992860,1.001067,0.165328,1.119444,0.079200,0.920800,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,700.00,3,1729747.49,68385.86,169893.61,0.996979,0.992860,1.001067,0.196021,1.180611,0.087733,0.912267,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,900.00,3,1729747.49,68385.86,169893.61,0.996979,0.992860,1.001067,0.253614,3.532236,0.103533,0.896467,774.33,0.00,0.933167,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,cascade_surrogate_rollout,1200.00,3,1729958.50,66298.50,164707.88,0.997130,0.994492,1.000000,0.393777,3.629736,0.142767,0.857233,774.67,0.00,0.933600,0.972542,682.70,1137.85
surrogate_probe_mild_capacity,rollout_teacher,,3,1734852.32,62952.79,156396.01,1.000000,1.000000,1.000000,3.531470,3.919014,1.000000,0.000000,779.00,0.00,0.938867,0.972542,682.70,1137.85
surrogate_probe_scarce_capacity,myopic_margin,,3,1273254.70,42295.60,105076.59,0.882057,0.877557,0.889567,0.000106,0.000125,0.000000,0.000000,582.67,588.00,0.485533,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,bid_price,,3,1335583.86,54245.66,134764.56,0.925276,0.908829,0.954737,0.000456,0.000486,0.000000,0.000000,614.00,545.33,0.511567,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,surrogate_linear,,3,1238460.05,76089.68,189032.51,0.857412,0.829235,0.876084,0.002262,0.002486,0.000000,1.000000,548.33,8.33,0.457033,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,0.00,3,1256763.37,92135.20,228894.99,0.869818,0.836916,0.903663,0.149023,2.105222,0.126433,0.873567,557.67,0.00,0.464867,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,100.00,3,1266772.33,83642.75,207796.89,0.876889,0.851782,0.905463,0.296864,3.199944,0.177600,0.822400,563.33,0.00,0.469600,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,250.00,3,1290006.26,80172.39,199175.34,0.893078,0.875866,0.921679,0.467563,3.260889,0.229467,0.770533,571.33,0.00,0.476300,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,500.00,3,1327477.38,59675.72,148254.66,0.919410,0.903193,0.931278,0.729854,3.325361,0.312033,0.687967,587.67,0.00,0.489867,0.674184,2095.83,3648.75
surrogate_probe_scarce_capacity,cascade_surrogate_rollout,700.00,3,1358939.66,70485.06,175108.74,0.941186,0.909301,0.958624,0.939580,3.319181,0.407500,0.592500,601.33,0.00,0.501333,0.674184,2095.83,3648.75
