state,state_name,outbound_tons_2024,inbound_tons_2024,net_outbound_tons_2024
12,Florida,593029.763836,619465.851653,-26436.087817
19,Iowa,379865.129772,359558.801553,20306.328219
48,Texas,1517189.570490,1497469.462629,19720.107861
47,Tennessee,293612.864383,277580.849277,16032.015106
27,Minnesota,360407.353565,373576.450239,-13169.096674
01,Alabama,219137.445511,208836.742000,10300.703511
33,New Hampshire,44967.173630,54890.002071,-9922.828441
17,Illinois,609000.899221,599226.797570,9774.101651
31,Nebraska,242543.119256,252294.511858,-9751.392602
37,North Carolina,309183.300043,318652.038719,-9468.738676
36,New York,391492.338469,400339.543795,-8847.205326
53,Washington,265827.097984,273956.679953,-8129.581969
41,Oregon,185292.096281,177220.856252,8071.240029
32,Nevada,63203.604352,71222.339744,-8018.735392
46,South Dakota,110979.164791,103169.973758,7809.191033
40,Oklahoma,171581.641600,163854.804361,7726.837239
13,Georgia,348979.465938,356456.032570,-7476.566632
26,Michigan,306524.986048,299465.522918,7059.463130
49,Utah,96906.245096,103384.832650,-6478.587554
35,New Mexico,47032.121746,53037.348274,-6005.226528
05,Arkansas,184020.013499,178276.422601,5743.590898
20,Kansas,219094.967187,213530.254943,5564.712244
09,Connecticut,101740.672034,96248.632015,5492.040019
25,Massachusetts,145910.838036,140631.443707,5279.394329
29,Missouri,244776.965959,249964.649999,-5187.684040
23,Maine,61123.185666,56563.347871,4559.837795
39,Ohio,454199.625768,458577.753456,-4378.127688
24,Maryland,142166.997040,137895.982582,4271.014458
38,North Dakota,101337.125890,105159.709500,-3822.583610
04,Arizona,134238.717671,137685.609469,-3446.891798
28,Mississippi,118112.439583,121439.240073,-3326.800490
08,Colorado,157921.907947,160816.087017,-2894.179070
30,Montana,41789.557612,44411.302907,-2621.745295
44,Rhode Island,23363.177559,20821.711556,2541.466003
18,Indiana,359085.253196,356916.348719,2168.904477
10,Delaware,29733.994511,31699.020699,-1965.026188
42,Pennsylvania,414386.302002,412524.191129,1862.110873
45,South Carolina,191202.989050,193041.167925,-1838.178875
11,District of Columbia,5954.536067,7721.366987,-1766.830920
56,Wyoming,29145.060023,27573.056676,1572.003347
16,Idaho,97836.232161,96383.511533,1452.720628
06,California,756330.954895,757778.949114,-1447.994219
22,Louisiana,183266.467947,182336.454560,930.013387
54,West Virginia,79216.048384,80141.251344,-925.202960
34,New Jersey,200342.838157,201260.811943,-917.973786
55,Wisconsin,369508.178247,369820.194771,-312.016524
21,Kentucky,185456.415651,185177.265388,279.150263
50,Vermont,18976.485055,18886.803794,89.681261
51,Virginia,259638.883919,259690.228606,-51.344687
02,Alaska,14463.343828,14463.343828,0.000000
15,Hawaii,24273.151051,24273.151051,0.000000
