origin_state,origin_name,destination_state,destination_name,tons_2024,value_2024,tmiles_2024
48,Texas,48,Texas,1384702.701546,933935.900395,145581.182465
06,California,06,California,686896.077442,825828.773107,59575.238060
12,Florida,12,Florida,556814.931053,326768.181275,50623.861302
17,Illinois,17,Illinois,483328.240127,345449.781128,48315.576725
39,Ohio,39,Ohio,344832.157239,239795.648721,25730.464655
36,New York,36,New York,322589.604430,257766.393306,21694.663156
19,Iowa,19,Iowa,302043.087483,98551.490864,42953.534219
55,Wisconsin,55,Wisconsin,298222.108109,134820.516851,30565.860537
27,Minnesota,27,Minnesota,294291.415281,135027.326112,33637.864414
42,Pennsylvania,42,Pennsylvania,293798.054556,200680.360298,24302.024735
13,Georgia,13,Georgia,269152.424030,179702.769344,23677.290600
18,Indiana,18,Indiana,256832.839255,144487.077651,21601.834922
26,Michigan,26,Michigan,241996.160717,249874.138316,23933.419546
37,North Carolina,37,North Carolina,240770.546163,174350.014132,21952.589340
53,Washington,53,Washington,239261.502538,136503.208755,21369.552151
47,Tennessee,47,Tennessee,213845.693438,110187.976848,16652.477749
31,Nebraska,31,Nebraska,208765.269444,64797.682903,29310.438995
51,Virginia,51,Virginia,203766.124638,101804.662965,15595.348489
29,Missouri,29,Missouri,188026.705783,102940.151515,20933.615536
20,Kansas,20,Kansas,174524.275381,78018.703193,22855.312115
01,Alabama,01,Alabama,163040.141300,75318.599516,16512.818854
41,Oregon,41,Oregon,152405.599308,64180.626126,15265.827714
45,South Carolina,45,South Carolina,148860.464221,63553.608736,11140.253286
22,Louisiana,22,Louisiana,148085.594255,72197.592033,11408.635332
05,Arkansas,05,Arkansas,146628.148989,58019.219110,17776.907969
34,New Jersey,34,New Jersey,136164.814995,128582.326958,4797.247355
08,Colorado,08,Colorado,133136.615054,95697.607851,13103.106592
21,Kentucky,21,Kentucky,129210.910587,73270.929687,11497.603768
40,Oklahoma,40,Oklahoma,123835.270076,63989.126227,10001.287356
04,Arizona,04,Arizona,116262.708090,86501.173932,6133.453337
25,Massachusetts,25,Massachusetts,103416.823550,95512.285999,3958.449382
24,Maryland,24,Maryland,96647.959693,58248.091844,4683.034380
28,Mississippi,28,Mississippi,86628.562105,34828.321159,11139.603748
46,South Dakota,46,South Dakota,85682.762014,24122.973470,12514.349000
38,North Dakota,38,North Dakota,83305.737396,24872.054159,14284.122115
16,Idaho,16,Idaho,80353.428899,30276.786810,12384.958807
49,Utah,49,Utah,80299.930025,47905.015406,4689.773471
09,Connecticut,09,Connecticut,75298.715603,57781.075007,2384.579892
54,West Virginia,54,West Virginia,60913.832676,20002.252246,5784.694847
32,Nevada,32,Nevada,52350.847512,25358.401657,3771.249954
23,Maine,23,Maine,48797.618209,18183.077353,4703.220158
35,New Mexico,35,New Mexico,40138.181935,22727.181710,4674.319583
33,New Hampshire,33,New Hampshire,33786.100533,13071.995762,1540.041002
30,Montana,30,Montana,31543.849922,13801.474354,4990.176810
19,Iowa,27,Minnesota,28993.435555,14316.503523,8942.907524
42,Pennsylvania,34,New Jersey,25803.627982,48842.209924,2705.610018
17,Illinois,18,Indiana,24296.744633,42359.500486,4246.134310
15,Hawaii,15,Hawaii,24273.151051,16190.919055,285.089753
