sctg2,commodity_name,tons_2024
12,Gravel,1764725.387937
31,Nonmetal min. prods.,1020169.662419
02,Cereal grains,1008343.854896
17,Gasoline,851748.238809
41,Waste/scrap,617604.273845
07,Other foodstuffs,577227.925063
25,Logs,573860.822051
11,Natural sands,566281.994695
18,Fuel oils,563892.022260
03,Other ag prods.,552916.982556
43,Mixed freight,406649.840355
04,Animal feed,389453.015893
26,Wood prods.,380035.191024
19,Natural gas and other fossil products,317700.995868
32,Base metals,255704.269400
20,Basic chemicals,201842.971593
13,Nonmetallic minerals,162994.247156
22,Fertilizers,160048.115753
24,Plastics/rubber,153563.992386
36,Motorized vehicles,147308.979604
06,Milled grain prods.,117077.418748
08,Alcoholic beverages,114593.187929
23,Chemical prods.,103379.837858
33,Articles-base metal,100256.179895
01,Live animals/fish,95950.670960
