policy,load_id,hour,origin,destination_city,destination_state,price,direct_cost,margin,score,branch_a,branch_b,wants_accept,outcome,latency_ms
myopic_margin,0,0,Texas,Dallas,Texas,2914.54,575.92,2338.62,2338.62,2338.62,0.00,True,accept,0.001667
myopic_margin,1,0,Texas,Dallas,Texas,2376.70,575.92,1800.78,1800.78,1800.78,0.00,True,accept,0.001292
myopic_margin,2,0,California,Dallas,Texas,4909.15,4756.23,152.92,152.92,152.92,0.00,True,accept,0.000583
myopic_margin,3,0,Texas,Dallas,Texas,2733.60,575.92,2157.68,2157.68,2157.68,0.00,True,accept,0.000291
myopic_margin,4,0,Texas,Dallas,Texas,2833.35,575.92,2257.43,2257.43,2257.43,0.00,True,accept,0.000292
myopic_margin,5,0,Texas,Dallas,Texas,2508.75,575.92,1932.84,1932.84,1932.84,0.00,True,accept,0.000209
myopic_margin,6,0,Texas,Dallas,Texas,2607.72,575.92,2031.80,2031.80,2031.80,0.00,True,accept,0.000125
myopic_margin,7,0,Texas,Dallas,Texas,3225.40,575.92,2649.48,2649.48,2649.48,0.00,True,accept,0.000167
myopic_margin,8,0,Texas,Dallas,Texas,3010.79,575.92,2434.87,2434.87,2434.87,0.00,True,accept,0.000292
myopic_margin,9,0,Texas,Dallas,Texas,2255.28,575.92,1679.36,1679.36,1679.36,0.00,True,accept,0.000250
myopic_margin,10,0,Texas,Dallas,Texas,2536.26,575.92,1960.34,1960.34,1960.34,0.00,True,accept,0.000167
myopic_margin,11,0,Texas,Dallas,Texas,2456.38,575.92,1880.46,1880.46,1880.46,0.00,True,accept,0.000167
myopic_margin,12,0,Texas,Dallas,Texas,2858.31,575.92,2282.39,2282.39,2282.39,0.00,True,accept,0.000333
myopic_margin,13,0,Texas,Chicago,Illinois,6246.19,3663.47,2582.72,2582.72,2582.72,0.00,True,accept,0.000167
myopic_margin,14,0,Texas,Philadelphia,Pennsylvania,7206.21,4956.42,2249.79,2249.79,2249.79,0.00,True,accept,0.000417
myopic_margin,15,0,Texas,Dallas,Texas,2465.92,575.92,1890.00,1890.00,1890.00,0.00,True,accept,0.000375
myopic_margin,16,1,Texas,Dallas,Texas,2770.88,575.92,2194.96,2194.96,2194.96,0.00,True,accept,0.000208
myopic_margin,17,1,Texas,Dallas,Texas,2797.99,575.92,2222.07,2222.07,2222.07,0.00,True,accept,0.000208
myopic_margin,18,1,Texas,Dallas,Texas,2896.50,575.92,2320.58,2320.58,2320.58,0.00,True,accept,0.000250
myopic_margin,19,1,Texas,Dallas,Texas,2955.69,575.92,2379.78,2379.78,2379.78,0.00,True,accept,0.000208
myopic_margin,20,1,Texas,Dallas,Texas,2566.33,575.92,1990.41,1990.41,1990.41,0.00,True,accept,0.000167
myopic_margin,21,1,Texas,Dallas,Texas,2605.02,575.92,2029.10,2029.10,2029.10,0.00,True,accept,0.000208
myopic_margin,22,1,Texas,Dallas,Texas,2579.38,575.92,2003.46,2003.46,2003.46,0.00,True,accept,0.000167
myopic_margin,23,1,Texas,Dallas,Texas,2429.26,575.92,1853.34,1853.34,1853.34,0.00,True,accept,0.000125
myopic_margin,24,1,Texas,Dallas,Texas,2326.10,575.92,1750.18,1750.18,1750.18,0.00,True,accept,0.000167
myopic_margin,25,1,Texas,Dallas,Texas,2780.53,575.92,2204.61,2204.61,2204.61,0.00,True,accept,0.000167
myopic_margin,26,1,California,Philadelphia,Pennsylvania,9959.41,8607.05,1352.36,1352.36,1352.36,0.00,True,accept,0.000167
myopic_margin,27,1,Texas,Dallas,Texas,2503.51,575.92,1927.59,1927.59,1927.59,0.00,True,accept,0.000208
myopic_margin,28,1,Georgia,Atlanta,Georgia,3560.36,522.71,3037.65,3037.65,3037.65,0.00,True,accept,0.000167
myopic_margin,29,1,California,Seattle,Washington,4351.63,3025.44,1326.19,1326.19,1326.19,0.00,True,accept,0.000208
myopic_margin,30,2,Texas,Dallas,Texas,3157.19,575.92,2581.27,2581.27,2581.27,0.00,True,accept,0.000167
myopic_margin,31,2,Georgia,Atlanta,Georgia,3275.02,522.71,2752.32,2752.32,2752.32,0.00,True,accept,0.000334
myopic_margin,32,2,Texas,Dallas,Texas,2836.92,575.92,2261.00,2261.00,2261.00,0.00,True,accept,0.000208
myopic_margin,33,2,Georgia,Atlanta,Georgia,3534.59,522.71,3011.89,3011.89,3011.89,0.00,True,accept,0.000167
myopic_margin,34,2,Georgia,Atlanta,Georgia,3303.21,522.71,2780.50,2780.50,2780.50,0.00,True,accept,0.000208
myopic_margin,35,2,Texas,Dallas,Texas,2341.45,575.92,1765.53,1765.53,1765.53,0.00,True,accept,0.000209
myopic_margin,36,2,Texas,Dallas,Texas,2608.21,575.92,2032.29,2032.29,2032.29,0.00,True,accept,0.000208
myopic_margin,37,2,Texas,Dallas,Texas,2599.76,575.92,2023.84,2023.84,2023.84,0.00,True,accept,0.000167
myopic_margin,38,2,Texas,Dallas,Texas,2667.82,575.92,2091.90,2091.90,2091.90,0.00,True,accept,0.000167
myopic_margin,39,2,Texas,Dallas,Texas,3176.66,575.92,2600.74,2600.74,2600.74,0.00,True,accept,0.000166
myopic_margin,40,2,Texas,Dallas,Texas,2741.68,575.92,2165.76,2165.76,2165.76,0.00,True,accept,0.000167
myopic_margin,41,2,Texas,Dallas,Texas,2537.78,575.92,1961.86,1961.86,1961.86,0.00,True,accept,0.000167
myopic_margin,42,2,Texas,Dallas,Texas,2773.13,575.92,2197.21,2197.21,2197.21,0.00,True,accept,0.000167
myopic_margin,43,2,Texas,Dallas,Texas,2872.94,575.92,2297.02,2297.02,2297.02,0.00,True,accept,0.000167
myopic_margin,44,2,Georgia,Atlanta,Georgia,3362.05,522.71,2839.34,2839.34,2839.34,0.00,True,accept,0.000167
myopic_margin,45,2,Georgia,Atlanta,Georgia,3790.69,522.71,3267.99,3267.99,3267.99,0.00,True,accept,0.000167
myopic_margin,46,2,Texas,Dallas,Texas,2546.84,575.92,1970.92,1970.92,1970.92,0.00,True,accept,0.000208
myopic_margin,47,3,Texas,Dallas,Texas,3048.66,575.92,2472.74,2472.74,2472.74,0.00,True,accept,0.000125
myopic_margin,48,3,Texas,Dallas,Texas,2554.40,575.92,1978.48,1978.48,1978.48,0.00,True,accept,0.000167
myopic_margin,49,3,Georgia,Miami,Florida,3880.68,1174.29,2706.39,2706.39,2706.39,0.00,True,accept,0.000292
myopic_margin,50,3,Texas,Dallas,Texas,2790.20,575.92,2214.28,2214.28,2214.28,0.00,True,accept,0.000167
myopic_margin,51,3,Texas,Dallas,Texas,2542.53,575.92,1966.61,1966.61,1966.61,0.00,True,accept,0.000250
myopic_margin,52,3,Texas,Miami,Florida,5382.29,3782.24,1600.06,1600.06,1600.06,0.00,True,accept,0.000167
myopic_margin,53,3,Texas,Dallas,Texas,2627.09,575.92,2051.17,2051.17,2051.17,0.00,True,accept,0.000208
myopic_margin,54,3,California,Seattle,Washington,4028.85,3025.44,1003.41,1003.41,1003.41,0.00,True,accept,0.000208
myopic_margin,55,3,Texas,Dallas,Texas,2872.69,575.92,2296.77,2296.77,2296.77,0.00,True,accept,0.000208
myopic_margin,56,3,Georgia,Atlanta,Georgia,4089.67,522.71,3566.97,3566.97,3566.97,0.00,True,accept,0.000167
myopic_margin,57,3,Georgia,Atlanta,Georgia,3523.83,522.71,3001.12,3001.12,3001.12,0.00,True,accept,0.000208
myopic_margin,58,3,Texas,Dallas,Texas,2567.71,575.92,1991.79,1991.79,1991.79,0.00,True,accept,0.000208
myopic_margin,59,3,Georgia,Miami,Florida,3619.16,1174.29,2444.87,2444.87,2444.87,0.00,True,accept,0.000166
myopic_margin,60,3,Georgia,Atlanta,Georgia,3667.82,522.71,3145.12,3145.12,3145.12,0.00,True,no_truck,0.000167
myopic_margin,61,3,Georgia,Atlanta,Georgia,3624.53,522.71,3101.82,3101.82,3101.82,0.00,True,no_truck,0.000208
myopic_margin,62,3,Texas,Dallas,Texas,2639.40,575.92,2063.48,2063.48,2063.48,0.00,True,accept,0.000208
myopic_margin,63,3,Texas,Dallas,Texas,2669.89,575.92,2093.97,2093.97,2093.97,0.00,True,accept,0.000167
myopic_margin,64,4,Georgia,Atlanta,Georgia,3707.69,522.71,3184.98,3184.98,3184.98,0.00,True,no_truck,0.000208
myopic_margin,65,4,Georgia,Atlanta,Georgia,3781.71,522.71,3259.00,3259.00,3259.00,0.00,True,no_truck,0.000209
myopic_margin,66,4,Texas,Dallas,Texas,2401.26,575.92,1825.35,1825.35,1825.35,0.00,True,accept,0.000166
myopic_margin,67,4,Texas,Dallas,Texas,2437.09,575.92,1861.17,1861.17,1861.17,0.00,True,accept,0.000167
myopic_margin,68,4,Texas,Dallas,Texas,2403.94,575.92,1828.02,1828.02,1828.02,0.00,True,accept,0.000208
myopic_margin,69,4,Texas,Dallas,Texas,2623.38,575.92,2047.46,2047.46,2047.46,0.00,True,accept,0.000167
myopic_margin,70,4,Texas,Dallas,Texas,2703.14,575.92,2127.22,2127.22,2127.22,0.00,True,accept,0.000125
myopic_margin,71,4,Georgia,Atlanta,Georgia,3128.30,522.71,2605.59,2605.59,2605.59,0.00,True,no_truck,0.000208
myopic_margin,72,4,Texas,Dallas,Texas,2847.56,575.92,2271.64,2271.64,2271.64,0.00,True,accept,0.000167
myopic_margin,73,4,Georgia,Atlanta,Georgia,3936.54,522.71,3413.84,3413.84,3413.84,0.00,True,no_truck,0.000167
myopic_margin,74,4,California,Dallas,Texas,5035.03,4756.23,278.80,278.80,278.80,0.00,True,accept,0.000167
myopic_margin,75,4,Georgia,Atlanta,Georgia,3540.71,522.71,3018.01,3018.01,3018.01,0.00,True,no_truck,0.000125
myopic_margin,76,4,Texas,Dallas,Texas,2548.97,575.92,1973.05,1973.05,1973.05,0.00,True,accept,0.000208
