load_id,origin_state,origin_name,destination_state,destination_name,destination_city,availability,distance_miles,price,cost,immediate_margin,origin_value,destination_value,opportunity_delta,value_adjusted_margin,myopic_accept,value_accept,case_type
11,48,Texas,36,New York,New York,Slight Shortage,1636.10,8443.27,4749.28,3694.00,1864.89,-836.66,-2701.55,992.45,True,True,agree_accept
3600,48,Texas,36,New York,New York,Slight Shortage,1636.10,8039.32,4749.28,3290.05,1864.89,-836.66,-2701.55,588.50,True,True,agree_accept
76,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,5859.58,2623.49,3236.09,1864.89,-707.04,-2571.93,664.16,True,True,agree_accept
974,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,6475.35,2623.49,3851.86,1864.89,-707.04,-2571.93,1279.93,True,True,agree_accept
1883,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,5859.47,2623.49,3235.98,1864.89,-707.04,-2571.93,664.05,True,True,agree_accept
1928,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,6445.28,2623.49,3821.79,1864.89,-707.04,-2571.93,1249.86,True,True,agree_accept
3312,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,6454.01,2623.49,3830.52,1864.89,-707.04,-2571.93,1258.59,True,True,agree_accept
26,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,5996.59,2623.49,3373.10,1864.89,-707.04,-2571.93,801.17,True,True,agree_accept
803,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,5248.21,2623.49,2624.72,1864.89,-707.04,-2571.93,52.79,True,True,agree_accept
1514,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,5705.32,2623.49,3081.83,1864.89,-707.04,-2571.93,509.90,True,True,agree_accept
3739,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,5659.49,2623.49,3036.00,1864.89,-707.04,-2571.93,464.07,True,True,agree_accept
4628,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,6040.32,2623.49,3416.83,1864.89,-707.04,-2571.93,844.90,True,True,agree_accept
4951,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,6353.55,2623.49,3730.06,1864.89,-707.04,-2571.93,1158.13,True,True,agree_accept
1635,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,6111.78,2623.49,3488.29,1864.89,-707.04,-2571.93,916.37,True,True,agree_accept
3051,48,Texas,13,Georgia,Atlanta,Slight Shortage,863.09,5523.64,2623.49,2900.15,1864.89,-707.04,-2571.93,328.23,True,True,agree_accept
1479,04,Arizona,48,Texas,Dallas,Slight Surplus,789.78,3501.17,2421.89,1079.28,-325.96,1864.89,2190.85,3270.13,True,True,agree_accept
1624,04,Arizona,48,Texas,Dallas,Slight Surplus,789.78,3734.65,2421.89,1312.76,-325.96,1864.89,2190.85,3503.61,True,True,agree_accept
396,04,Arizona,48,Texas,Dallas,Slight Surplus,789.78,3638.93,2421.89,1217.04,-325.96,1864.89,2190.85,3407.89,True,True,agree_accept
1391,04,Arizona,48,Texas,Dallas,Slight Surplus,789.78,3708.49,2421.89,1286.60,-325.96,1864.89,2190.85,3477.45,True,True,agree_accept
4604,04,Arizona,48,Texas,Dallas,Slight Surplus,789.78,3208.79,2421.89,786.90,-325.96,1864.89,2190.85,2977.75,True,True,agree_accept
4746,04,Arizona,48,Texas,Dallas,Slight Surplus,789.78,3526.12,2421.89,1104.23,-325.96,1864.89,2190.85,3295.08,True,True,agree_accept
199,06,California,48,Texas,Dallas,Slight Shortage,1453.62,4995.65,4247.46,748.19,-136.93,1864.89,2001.82,2750.01,True,True,agree_accept
250,06,California,48,Texas,Dallas,Adequate,1453.62,5023.44,4247.46,775.98,-136.93,1864.89,2001.82,2777.80,True,True,agree_accept
1764,06,California,48,Texas,Dallas,Slight Shortage,1453.62,4699.67,4247.46,452.21,-136.93,1864.89,2001.82,2454.03,True,True,agree_accept
1878,06,California,48,Texas,Dallas,Slight Shortage,1453.62,5039.95,4247.46,792.48,-136.93,1864.89,2001.82,2794.30,True,True,agree_accept
