policy,load_id,hour,origin,destination_city,destination_state,margin,score,stage,wants_accept,outcome,latency_ms
myopic_margin,0,0,Texas,Dallas,Texas,2113.63,2113.63,myopic,True,accept,0.001625
myopic_margin,1,0,California,Philadelphia,Pennsylvania,821.84,821.84,myopic,True,accept,0.000708
myopic_margin,2,0,Texas,Dallas,Texas,2072.69,2072.69,myopic,True,accept,0.000291
myopic_margin,3,0,Georgia,Atlanta,Georgia,3155.22,3155.22,myopic,True,accept,0.000208
myopic_margin,4,0,Texas,Dallas,Texas,2132.56,2132.56,myopic,True,accept,0.000125
myopic_margin,5,0,Texas,Dallas,Texas,1497.27,1497.27,myopic,True,accept,0.000125
myopic_margin,6,0,Texas,Dallas,Texas,1777.74,1777.74,myopic,True,accept,0.000084
myopic_margin,7,0,Texas,Dallas,Texas,2099.90,2099.90,myopic,True,accept,0.000125
myopic_margin,8,0,Texas,Dallas,Texas,1705.93,1705.93,myopic,True,accept,0.000083
myopic_margin,9,0,Texas,Dallas,Texas,2027.78,2027.78,myopic,True,accept,0.000125
myopic_margin,10,0,Texas,Dallas,Texas,2075.17,2075.17,myopic,True,accept,0.000083
myopic_margin,11,0,Texas,Dallas,Texas,2039.41,2039.41,myopic,True,accept,0.000084
myopic_margin,12,0,Texas,Dallas,Texas,1982.21,1982.21,myopic,True,accept,0.000083
myopic_margin,13,0,Texas,Dallas,Texas,2221.20,2221.20,myopic,True,accept,0.000125
myopic_margin,14,0,Texas,Dallas,Texas,1968.75,1968.75,myopic,True,accept,0.000125
myopic_margin,15,0,Texas,Dallas,Texas,2030.98,2030.98,myopic,True,accept,0.000083
myopic_margin,16,0,Texas,Dallas,Texas,2070.14,2070.14,myopic,True,accept,0.000084
myopic_margin,17,0,Texas,Dallas,Texas,1893.46,1893.46,myopic,True,accept,0.000083
myopic_margin,18,1,Texas,Dallas,Texas,2151.65,2151.65,myopic,True,accept,0.000125
myopic_margin,19,1,Texas,Dallas,Texas,2022.73,2022.73,myopic,True,accept,0.000083
myopic_margin,20,1,Texas,Dallas,Texas,2445.28,2445.28,myopic,True,accept,0.000083
myopic_margin,21,1,Texas,Dallas,Texas,2140.04,2140.04,myopic,True,accept,0.000083
myopic_margin,22,1,Texas,Dallas,Texas,1617.92,1617.92,myopic,True,accept,0.000084
