feature,mean,scale,weight
bias,0.000000,1.000000,0.02174707
available_at_origin,0.22052786,0.22769815,0.33311422
cost_per_mile,1.07224447,0.12759091,0.22752676
destination_value,0.35585347,0.37613083,0.02692069
distance,0.07450588,0.15680677,0.01974436
faf_tons,1.33854500,0.17227633,-0.05133243
future_delta,-0.00953861,0.17199369,-0.01163618
hour_cos,-0.00868640,0.70205223,-0.04493418
hour_sin,0.02694913,0.71156233,-0.05445942
margin,0.42017741,0.14153970,0.04945335
origin_value,0.36539208,0.36147150,0.03354938
price_per_mile,5.11536569,1.71037107,0.05554657
same_state,0.91202346,0.28326078,-0.11059847
scarcity_multiplier,1.12223851,0.06063829,-0.02844146
