report_date,origin,destination,availability,rate_low,rate_high,pct_change
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Atlanta,Slight Surplus,6000,6200,(+15)
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Baltimore,Adequate,8000,8200,(-1)
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Boston,Slight Surplus,9000,9200,(0)
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Chicago,Adequate,5200,5400,(-9)
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Dallas,Slight Surplus,3400,3800,
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Los Angeles,Slight Surplus,1800,2200,
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,New York,Adequate,8400,8600,(-2)
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Philadelphia,Adequate,8200,8400,(-3)
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Atlanta,Slight Shortage,5800,7100,()
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Boston,Slight Shortage,9000,9600,()
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Chicago,Slight Shortage,5400,6000,()
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Dallas,Slight Shortage,4500,5200,()
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Miami,Slight Shortage,8500,9700,()
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",New York,Slight Shortage,9200,9700,()
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",Seattle,Slight Shortage,3500,4500,()
