report_date,usda_origin,origin_state,origin_name,origin_mapping_note,destination_city,destination_state,destination_name,availability,scarcity_multiplier,rate_low,rate_high,rate_midpoint,pct_change,faf_tons_2024,faf_value_2024,faf_tmiles_2024
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,Atlanta,13,Georgia,Slight Surplus,0.90,6000,6200,6100.00,(+15),169.084139,2332.757206,319.620000
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,Baltimore,24,Maryland,Adequate,1.00,8000,8200,8100.00,(-1),36.719767,368.836360,86.669052
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,Boston,25,Massachusetts,Slight Surplus,0.90,9000,9200,9100.00,(0),70.856306,243.700478,191.662934
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,Chicago,17,Illinois,Adequate,1.00,5200,5400,5300.00,(-9),235.457827,822.450431,416.041116
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,Dallas,48,Texas,Slight Surplus,0.90,3400,3800,3600.00,,1828.741808,7085.671871,1444.297834
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,Los Angeles,06,California,Slight Surplus,0.90,1800,2200,2000.00,,8362.706182,14031.349361,3685.375964
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,New York,36,New York,Adequate,1.00,8400,8600,8500.00,(-2),115.790119,873.893893,288.084069
"April 29,2026",MEXICO CROSSINGS THROUGH NOGALES ARIZONA,04,Arizona,direct,Philadelphia,42,Pennsylvania,Adequate,1.00,8200,8400,8300.00,(-3),109.670552,654.532624,261.622360
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Atlanta,13,Georgia,Slight Shortage,1.15,5800,7100,6450.00,(),1459.464969,9251.382974,3365.749570
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Boston,25,Massachusetts,Slight Shortage,1.15,9000,9600,9300.00,(),509.224831,3522.388646,1568.953780
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Chicago,17,Illinois,Slight Shortage,1.15,5400,6000,5700.00,(),2018.577357,12019.562249,4114.333986
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Dallas,48,Texas,Slight Shortage,1.15,4500,5200,4850.00,(),5828.976840,32158.419305,8473.131579
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Miami,12,Florida,Slight Shortage,1.15,8500,9700,9100.00,(),1704.883710,15732.816987,4467.815988
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,New York,36,New York,Slight Shortage,1.15,9200,9700,9450.00,(),1477.117616,10194.810886,4166.296078
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Seattle,53,Washington,Slight Shortage,1.15,3500,4500,4000.00,(),4939.416602,18372.158573,4422.276722
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Baltimore,24,Maryland,Slight Shortage,1.15,8500,9500,9000.00,(0),894.668196,4454.830720,2477.880156
"April 29,2026","IMPERIAL, COACHELLA VALLEYS CA, CENTRAL AND WESTERN AZ, MEXICO CROSSINGS THROUGH CALEXICO AND SAN LUIS",06,California,mixed_ca_az_primary_ca,Philadelphia,42,Pennsylvania,Slight Shortage,1.15,8700,9700,9200.00,(0),1487.838303,10829.058522,4010.948161
"April 29,2026",KERN DISTRICT CALIFORNIA,06,California,direct,Baltimore,24,Maryland,Slight Shortage,1.15,8500,8900,8700.00,,894.668196,4454.830720,2477.880156
"April 29,2026",KERN DISTRICT CALIFORNIA,06,California,direct,Chicago,17,Illinois,Slight Shortage,1.15,5900,6600,6250.00,(0),2018.577357,12019.562249,4114.333986
"April 29,2026",KERN DISTRICT CALIFORNIA,06,California,direct,New York,36,New York,Slight Shortage,1.15,9700,10400,10050.00,(0),1477.117616,10194.810886,4166.296078
"April 29,2026",KERN DISTRICT CALIFORNIA,06,California,direct,Philadelphia,42,Pennsylvania,Slight Shortage,1.15,8600,9500,9050.00,(0),1487.838303,10829.058522,4010.948161
"April 29,2026",OXNARD DISTRICT CALIFORNIA,06,California,direct,Baltimore,24,Maryland,Slight Shortage,1.15,7900,8200,8050.00,,894.668196,4454.830720,2477.880156
"April 29,2026",OXNARD DISTRICT CALIFORNIA,06,California,direct,Philadelphia,42,Pennsylvania,Slight Shortage,1.15,9400,10200,9800.00,(0),1487.838303,10829.058522,4010.948161
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,06,California,direct,Baltimore,24,Maryland,Slight Shortage,1.15,9000,10100,9550.00,(0),894.668196,4454.830720,2477.880156
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,06,California,direct,Chicago,17,Illinois,Slight Shortage,1.15,6000,7300,6650.00,(0),2018.577357,12019.562249,4114.333986
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,06,California,direct,New York,36,New York,Slight Shortage,1.15,9800,10500,10150.00,(0),1477.117616,10194.810886,4166.296078
"April 29,2026",SALINAS-WATSONVILLE CALIFORNIA,06,California,direct,Philadelphia,42,Pennsylvania,Slight Shortage,1.15,9500,10400,9950.00,(0),1487.838303,10829.058522,4010.948161
"April 29,2026",SANTA MARIA CALIFORNIA,06,California,direct,Baltimore,24,Maryland,Slight Shortage,1.15,8700,9400,9050.00,(0),894.668196,4454.830720,2477.880156
